PID,Process Name,Process Command Line,Process Path,Process SHA-256 Hash,VirusTotal Detection Summary
"5368","Dell.TechHub.exe","C:\Program Files\Dell\TechHub\Dell.TechHub.exe","C:\Program Files\Dell\TechHub\Dell.TechHub.exe","a56195c596f8812a1739bcdeef26481ad6312c001dc4b09fdc6e33938f51fc20","No security vendors flagged this file as malicious"
"10536","Dell.TechHub.Instrumentation.SubAgent.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","dedb2eaf8aac2c5befbe1aa8f13b715a3f8ae60bb0ec5b2e93675b0b5f0929df","No security vendors flagged this file as malicious"
"20936","Dell.TechHub.Instrumentation.UserProcess.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","55e33d11b691f5ca6be6076f3d4aef68747f8a58bff1b62020696c2e0cabcebd","No security vendors flagged this file as malicious"
"10640","Dell.Update.SubAgent.exe","C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.Update.SubAgent.exe","C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.Update.SubAgent.exe","d43f29d0eab97e6bc21310b07dd711037425b3e562f59ab2a74367a5c742f0d5","No security vendors flagged this file as malicious"
"5352","DellFFDPWmiService.exe","C:\WINDOWS\System32\drivers\DellFFDPWmiService.exe","C:\WINDOWS\System32\drivers\DellFFDPWmiService.exe","8ceda398ae2240ed7d61be29e31060be4123a5daa89ae1e0f9a0118a7bb0fd44","No security vendors flagged this file as malicious"
"8760","dwm.exe","C:\WINDOWS\System32\dwm.exe","C:\WINDOWS\System32\dwm.exe","2c283046e801bd9eb6163003ca049dfc9ba3cffdb9401dcd5516aecb4c6f5510","No security vendors flagged this file as malicious"
"5580","esif_uf.exe","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe","75e93242cfbf6daba641a1ba6f833708fc1c07bc8aae1fc6d5a4929a49d9fe2b","No security vendors flagged this file as malicious"
"10932","explorer.exe","C:\WINDOWS\Explorer.EXE","C:\WINDOWS\Explorer.EXE","11aef65ef73c2d8fdf6688fbbd16f60c1b58641c46405a1b0fb0f9c2c5b35402","No security vendors flagged this file as malicious"
"4224","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 9180:45480 -prefMapHandle 8676:289477 -jsInitHandle 9892:223968 -parentBuildID 20260116091309 -ipcHandle 8196 -initialChannelId {945ed3fa-ebb9-4dc4-a825-7eefc41bfa25} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 9184 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 23 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"15660","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20260116091309 -prefsHandle 2036:41734 -prefMapHandle 2040:289477 -ipcHandle 2012 -initialChannelId {71aded14-1bc4-4f06-a294-4fb76116ef99} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 2064 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 1 gpu","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"17228","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 4696:42105 -prefMapHandle 4700:289477 -jsInitHandle 4704:223968 -parentBuildID 20260116091309 -ipcHandle 4512 -initialChannelId {9b5f26d0-9d30-4ab3-b46d-aefc491264b6} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 4712 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 6 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"5348","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 9352:45480 -prefMapHandle 3208:289477 -jsInitHandle 9528:223968 -parentBuildID 20260116091309 -ipcHandle 9496 -initialChannelId {0a3c7132-47e8-461f-8948-c6caa4fff5c1} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 9264 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 22 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"3724","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 4488:42029 -prefMapHandle 4492:289477 -jsInitHandle 4496:223968 -parentBuildID 20260116091309 -ipcHandle 4504 -initialChannelId {3fbea6d6-9cd2-40bf-bb32-64a95de5bc4b} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 4124 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 5 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"20424","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 8284:45428 -prefMapHandle 8716:289477 -jsInitHandle 8712:223968 -parentBuildID 20260116091309 -ipcHandle 8720 -initialChannelId {94a81103-cf4d-4cb5-b144-fcd24284f019} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 8728 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 17 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"15828","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"14728","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20260116091309 -prefsHandle 4208:41964 -prefMapHandle 4212:289477 -ipcHandle 4220 -initialChannelId {08cdd662-4696-4c60-8204-8d2f88e084dd} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 4236 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 4 rdd","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"2336","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 8172:45428 -prefMapHandle 8176:289477 -jsInitHandle 8180:223968 -parentBuildID 20260116091309 -ipcHandle 8096 -initialChannelId {e3e8d9ce-028a-42e2-a579-54e0f6c4f672} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 7956 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 14 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"20664","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 4920:34256 -prefMapHandle 3468:289477 -jsInitHandle 4284:223968 -parentBuildID 20260116091309 -ipcHandle 3956 -initialChannelId {9ffa411c-4c0a-4725-a67d-b0773d835a8a} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 4276 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 9 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"5756","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 8356:45479 -prefMapHandle 9556:289477 -jsInitHandle 8060:223968 -parentBuildID 20260116091309 -ipcHandle 9992 -initialChannelId {b07ac261-6aca-4ec1-bc5c-be6b859765f8} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 9632 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 25 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"20640","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 4956:34256 -prefMapHandle 4960:289477 -jsInitHandle 4964:223968 -parentBuildID 20260116091309 -ipcHandle 4972 -initialChannelId {aa86b2c1-6b82-4bbd-a889-aefa35bda5bf} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 4980 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 8 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"6660","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 9912:45480 -prefMapHandle 9816:289477 -jsInitHandle 9832:223968 -parentBuildID 20260116091309 -ipcHandle 10052 -initialChannelId {1d77ba4b-ccd8-4b81-89a3-b129ef9d430f} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 9888 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 24 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"21440","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20260116091309 -sandboxingKind 0 -prefsHandle 6532:53063 -prefMapHandle 6548:289477 -ipcHandle 6664 -initialChannelId {e4fbbcd8-f5ab-4bff-bae4-6ace16b9447b} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 6612 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 10 utility","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"15452","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20260116091309 -prefsHandle 2276:41734 -prefMapHandle 2280:289477 -ipcHandle 2288 -initialChannelId {73c7e522-aba7-4ece-8aa3-2a691ef2dc35} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 2296 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 2 socket","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"21488","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20260116091309 -sandboxingKind 1 -prefsHandle 6748:53063 -prefMapHandle 6744:289477 -ipcHandle 6732 -initialChannelId {f425cd33-14e0-44f5-8032-ddaebb5fb44c} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 6908 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 12 utility","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"1856","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 9600:45479 -prefMapHandle 10156:289477 -jsInitHandle 9664:223968 -parentBuildID 20260116091309 -ipcHandle 8592 -initialChannelId {f7c39b97-7dfd-4693-bcd3-24f44820408d} -parentPid 15828 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.15828"" -crashHelper 8208 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 26 tab","C:\Program Files\Mozilla Firefox\firefox.exe","2200232af3075908082c6e3853057889e4dbc3cec8459df2b70e0144b7b7af31","No security vendors flagged this file as malicious"
"1528","fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","539d2eb493a65ab225103a8aa088c51ce0ced96041473681b96316e9068f06d2","No security vendors flagged this file as malicious"
"19784","fontdrvhost.exe","C:\WINDOWS\System32\fontdrvhost.exe","C:\WINDOWS\System32\fontdrvhost.exe","539d2eb493a65ab225103a8aa088c51ce0ced96041473681b96316e9068f06d2","No security vendors flagged this file as malicious"
"2444","hidfind.exe","C:\WINDOWS\system32\DellTPad\HidFind.exe","C:\WINDOWS\system32\DellTPad\HidFind.exe","cded7f19ded976677e7bcd5d5cf8d2c72eb2a2a64600c82a176b3223a4b45031","No security vendors flagged this file as malicious"
"5160","HidMonitorSvc.exe","C:\WINDOWS\system32\DellTPad\HidMonitorSvc.exe","C:\WINDOWS\system32\DellTPad\HidMonitorSvc.exe","58e7268d6df4e90688750701012565af16aff3a143277886c896bb8e671cd9d1","No security vendors flagged this file as malicious"
"4748","HostControlService.exe","C:\WINDOWS\System32\HostControlService.exe","C:\WINDOWS\System32\HostControlService.exe","921fb6b019316f5c87c30b17274c0934a50ed8579b362da17b754aa689e76c01","No security vendors flagged this file as malicious"
"4740","HostStorageService.exe","C:\WINDOWS\System32\HostStorageService.exe","C:\WINDOWS\System32\HostStorageService.exe","b7e38ec16ac6bc04d4e730fdf4a47246f54d6af035e6452f689cc5cfe11315d3","No security vendors flagged this file as malicious"
"0","Idle.exe","","","",""
"2904","igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxCUIService.exe","9bcc1672de269e41b64fe16e66c2f0715035aeefe4b21165e553f67ed9e4805a","No security vendors flagged this file as malicious"
"17648","igfxEM.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxEM.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxEM.exe","7aeb6c90f9659d944890bd17dd670732c19773db53b137c50a4ffa284ba256cf","No security vendors flagged this file as malicious"
"2136","IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHDCPSvc.exe","dda4eb6bbb34e367bdaf35f1356d3702a7247fccdd29583dc22fdf7e1ce2d911","No security vendors flagged this file as malicious"
"2668","IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHeciSvc.exe","91e15254153dc37eca321cf44c7ebc0691c961725839683525ed6717198ba2f5","No security vendors flagged this file as malicious"
"8328","jhi_service.exe","C:\WINDOWS\System32\jhi_service.exe","C:\WINDOWS\System32\jhi_service.exe","06dc78b0daef262a066dbef082f1caa075fa91dde34ab3656c694224f0abb717","No security vendors flagged this file as malicious"
"12184","ksde.exe","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.23\ksde.exe -r","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.23\ksde.exe","3d92da82031c7a5787e83191bf85eda4c276d7013b8f513dbdb7280bcd03947d","No security vendors flagged this file as malicious"
"11436","ksdeui.exe","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.23\ksdeui.exe -hidden","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.23\ksdeui.exe","299e69b6ab03f29c6de26421dc9da710e8cd0219f56b914de55108c9878ebd04","No security vendors flagged this file as malicious"
"5564","LMS.exe","C:\WINDOWS\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","C:\WINDOWS\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","ac62e4072c8ca38581a2f7fbd900565440412194eec30ad00d4c591b7c56b8e3","No security vendors flagged this file as malicious"
"1352","LsaIso.exe","","","",""
"1372","lsass.exe","","","",""
"3476","Memory Compression.exe","","","",""
"3188","MicrosoftStartFeedProvider.exe","C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.195.0.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe -Embedding","C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.195.0.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe","28154cc65110b17ba6cff5a7871216cbe76372c807bd63d470fcd00ae025ce39","No security vendors flagged this file as malicious"
"5300","MigrationService.exe","C:\Program Files (x86)\Samsung\Samsung Magician\MigrationService\MigrationService.exe","C:\Program Files (x86)\Samsung\Samsung Magician\MigrationService\MigrationService.exe","372739fc23dfa8bbf2f526556463ee5fb0792ab673afb5d609d322c952e165fc","No security vendors flagged this file as malicious"
"5572","MpDefenderCoreService.exe","","","",""
"5696","mqsvc.exe","C:\WINDOWS\system32\mqsvc.exe","C:\WINDOWS\system32\mqsvc.exe","d88eeb1500c559b2ca1f77ab7aaf8039e0d913b111fb23851bb462009e8864b1","No security vendors flagged this file as malicious"
